DIP:339E	DIP:625N		SWP:P09661	PIR:S03616	GI:88963	DIP:88N		SWP:P21372	PIR:A35791	GI:101499
DIP:436E	DIP:18N		SWP:P06782	PIR:A26030	GI:83422	DIP:780N		SWP:P38717	PIR:S42391	GI:630341
DIP:536E	DIP:871N		SWP:P42073	PIR:S52702	GI:1078322	DIP:844N		SWP:P40020	PIR:S50490	GI:1077642
DIP:539E	DIP:777N		SWP:P32578	PIR:S41984	GI:542357	DIP:18N		SWP:P06782	PIR:A26030	GI:83422
DIP:540E	DIP:97N		SWP:P22543	PIR:A36369	GI:101691	DIP:814N		SWP:P22219	PIR:S48264	GI:1078310
DIP:541E	DIP:33N		SWP:P11978	PIR:A29360	GI:83539	DIP:33N		SWP:P11978	PIR:A29360	GI:83539
DIP:542E	DIP:698N		SWP:P15646	PIR:S25421	GI:101461	DIP:746N		SWP:P33750	PIR:S35323	GI:486774
DIP:590E	DIP:293N		SWP:P40957	PIR:A57276	GI:1362416	DIP:982N		SWP:P26309	PIR:S64126	GI:2131207
DIP:591E	DIP:815N		SWP:P40958	PIR:S48302	GI:626729	DIP:982N		SWP:P26309	PIR:S64126	GI:2131207
DIP:592E	DIP:948N			PIR:S60005	GI:2137498	DIP:982N		SWP:P26309	PIR:S64126	GI:2131207
DIP:662E	DIP:314N		SWP:P18852	PIR:B30102	GI:83551	DIP:954N		SWP:P18851	PIR:S60939	GI:2133158
DIP:663E	DIP:15N		SWP:P08539	PIR:A25906	GI:83053	DIP:954N		SWP:P18851	PIR:S60939	GI:2133158
DIP:678E	DIP:676N		SWP:P33767	PIR:S20187	GI:83609	DIP:739N			PIR:S33957	GI:420135
DIP:704E	DIP:913N		SWP:P40368	PIR:S56833	GI:1077815	DIP:669N		SWP:P14306	PIR:S18843	GI:101655
DIP:705E	DIP:745N		SWP:P34077	PIR:S35319	GI:486772	DIP:669N		SWP:P14306	PIR:S18843	GI:101655
DIP:706E	DIP:866N		SWP:P48837	PIR:S51799	GI:1084818	DIP:669N		SWP:P14306	PIR:S18843	GI:101655
DIP:707E	DIP:709N		SWP:Q02199	PIR:S28026	GI:283219	DIP:669N		SWP:P14306	PIR:S18843	GI:101655
DIP:715E	DIP:55N		SWP:P20433	PIR:A32490	GI:101302	DIP:725N		SWP:P34087	PIR:S30140	GI:422107
DIP:733E	DIP:838N		SWP:P41920	PIR:S50219	GI:1078317	DIP:747N		SWP:P32835	PIR:S35504	GI:486807
DIP:755E	DIP:81N		SWP:P20676	PIR:A35622	GI:101463	DIP:728N		SWP:Q02821	PIR:S30884	GI:320855
DIP:756E	DIP:859N		SWP:P32499	PIR:S51340	GI:1078162	DIP:728N		SWP:Q02821	PIR:S30884	GI:320855
DIP:764E	DIP:86N		SWP:P13902	PIR:A35735	GI:101545	DIP:680N		SWP:P26798	PIR:S21570	GI:101354
DIP:765E	DIP:75N		SWP:P17119	PIR:A34796	GI:101424	DIP:192N		SWP:Q01649	PIR:A44073	GI:283113
DIP:771E	DIP:592N		SWP:P12904	PIR:RGBYC3	GI:73253	DIP:18N		SWP:P06782	PIR:A26030	GI:83422
DIP:772E	DIP:911N		SWP:P07270	PIR:S56289	GI:1084824	DIP:13N		SWP:P07269	PIR:A25872	GI:82888
DIP:773E	DIP:1078N		SWP:P20226	PIR:TWHU2D	GI:1070666	DIP:13N		SWP:P07269	PIR:A25872	GI:82888
DIP:774E	DIP:1077N		SWP:Q00403	PIR:TWHU2B	GI:2144953	DIP:13N		SWP:P07269	PIR:A25872	GI:82888
DIP:775E	DIP:716N		SWP:P29084	PIR:S29292	GI:631469	DIP:13N		SWP:P07269	PIR:A25872	GI:82888
DIP:776E	DIP:1078N		SWP:P20226	PIR:TWHU2D	GI:1070666	DIP:911N		SWP:P07270	PIR:S56289	GI:1084824
DIP:777E	DIP:1077N		SWP:Q00403	PIR:TWHU2B	GI:2144953	DIP:911N		SWP:P07270	PIR:S56289	GI:1084824
DIP:778E	DIP:716N		SWP:P29084	PIR:S29292	GI:631469	DIP:911N		SWP:P07270	PIR:S56289	GI:1084824
DIP:831E	DIP:536N		SWP:P06787	PIR:MCBY	GI:71694	DIP:702N		SWP:P32380	PIR:S26710	GI:283221
DIP:832E	DIP:905N		SWP:P39520	PIR:S55352	GI:1362415	DIP:223N		SWP:P32605	PIR:A46301	GI:422203
DIP:833E	DIP:909N		SWP:Q06205	PIR:S55971	GI:6015156	DIP:223N		SWP:P32605	PIR:A46301	GI:422203
DIP:834E	DIP:972N		SWP:P53863	PIR:S63193	GI:2131933	DIP:223N		SWP:P32605	PIR:A46301	GI:422203
DIP:835E	DIP:557N		SWP:P26570	PIR:PABY12	GI:2144453	DIP:223N		SWP:P32605	PIR:A46301	GI:422203
DIP:836E	DIP:870N		SWP:O13329	PIR:S52676	GI:1077570	DIP:223N		SWP:P32605	PIR:A46301	GI:422203
DIP:837E	DIP:557N		SWP:P26570	PIR:PABY12	GI:2144453	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:838E	DIP:870N		SWP:O13329	PIR:S52676	GI:1077570	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:839E	DIP:868N		SWP:P39723	PIR:S51972	GI:1077481	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:840E	DIP:672N		SWP:P25607	PIR:S19413	GI:83273	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:841E	DIP:912N		SWP:P43611	PIR:S56294	GI:1084753	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:842E	DIP:885N		SWP:P42937	PIR:S53926	GI:1077191	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:843E	DIP:989N		SWP:Q07938	PIR:S64839	GI:2131750	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:844E	DIP:822N			PIR:S48564	GI:626450	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:845E	DIP:877N		SWP:Q03677	PIR:S53039	GI:1078556	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:846E	DIP:876N		SWP:Q04213	PIR:S52893	GI:1077269	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:847E	DIP:998N			PIR:S67177	GI:6324849	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:848E	DIP:992N		SWP:P52910	PIR:S65002	GI:2118346	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:849E	DIP:975N		SWP:Q00955	PIR:S63347	GI:2131164	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:850E	DIP:732N		SWP:Q01722	PIR:S31300	GI:320841	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:851E	DIP:233N		SWP:P32361	PIR:A47541	GI:539088	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:852E	DIP:174N		SWP:P28742	PIR:A42640	GI:283188	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
